student_id,institution_name,campus_location,degree_program,start_year,graduation_year,GPA_start,GPA_mid,GPA_final,credits_completed,internship_participation,extracurricular_involvement_level,study_abroad,on_campus_employment,gender,ethnicity,age_at_graduation,first_generation_college_student,family_income_bracket,high_school_GPA,employment_status_6mo,employment_status_1yr,job_title_first,industry_first,salary_first,job_city,job_state,job_region,graduate_school_enrollment,graduate_field_of_study,job_satisfaction,alignment_with_major
4c563b8c-81e1-4242-88db-6ae3e12457cf,University of Illinois Chicago,"Chicago, IL",Business,2020,2024,3.06,3.39,3.43,128,0,High,0,0,Non-binary,White,22,0,High,2.75,Employed,Employed,Research scientist (maths),Consulting,54918.0,Peoria,IL,Midwest,0,,10.0,1.0
f3431ae9-895e-4900-89df-1e88581d6a0e,University of Illinois Chicago,"Chicago, IL",STEM,2020,2024,2.66,3.2,2.96,130,0,None,0,0,Female,Asian,26,0,Low,3.33,Continuing Education,Continuing Education,,,,,,,0,,,
937cbb18-c7db-42af-ab8e-08ba6db3165e,University of Illinois Urbana-Champaign,"Urbana-Champaign, IL",Business,2018,2022,3.24,3.32,3.72,137,1,None,0,1,Female,Black,26,0,Medium,2.63,Employed,Employed,Advice worker,Marketing,69701.0,Rockford,IL,Midwest,0,,9.0,1.0
a86f81ff-6353-4a5c-88b8-e41c26440211,University of Illinois Springfield,"Springfield, IL",Business,2017,2021,2.45,2.65,2.34,130,1,Low,1,1,Female,White,29,0,Medium,2.89,Employed,Employed,Cytogeneticist,Marketing,57421.0,Detroit,MI,Midwest,0,,10.0,1.0
1b246c20-0e30-4743-bceb-2daf3d8ea3ba,University of Illinois Urbana-Champaign,"Urbana-Champaign, IL",Health Sciences,2016,2020,3.12,3.49,3.6,134,1,High,0,1,Non-binary,Black,28,0,Low,3.35,Employed,Employed,Printmaker,Healthcare,68936.0,Decatur,IL,Midwest,0,,9.0,1.0
e9f91254-d760-4ad7-b593-b0225a4179a4,University of Illinois Urbana-Champaign,"Urbana-Champaign, IL",Business,2018,2022,3.35,3.7,3.89,131,1,Medium,0,0,Male,Black,27,0,High,3.36,Employed,Employed,Private music teacher,Consulting,70357.0,Milwaukee,WI,Midwest,0,,8.0,0.0
0c501239-5f73-4fc7-ab87-e0fa15e10473,University of Illinois Chicago,"Chicago, IL",Health Sciences,2019,2023,2.83,2.77,3.02,121,0,Medium,0,1,Non-binary,Other,27,0,Low,2.86,Employed,Employed,"Embryologist, clinical",Healthcare,56753.0,Champaign,IL,Midwest,1,Health Sciences,7.0,1.0
53897ca6-18a9-4515-a359-344ed9fc4902,University of Illinois Urbana-Champaign,"Urbana-Champaign, IL",Business,2020,2024,2.57,2.41,2.43,136,0,None,0,0,Female,Other,24,1,Low,3.18,Employed,Employed,"Psychologist, counselling",Consulting,65768.0,St. Louis,MO,Midwest,0,,8.0,1.0
49e2cee6-08b9-4add-8637-3de1fee89eb4,University of Illinois Chicago,"Chicago, IL",Health Sciences,2017,2021,2.58,1.88,2.08,138,1,Medium,0,1,Non-binary,Asian,26,0,High,2.56,Employed,Employed,"Psychologist, sport and exercise",Healthcare,63224.0,Naperville,IL,Midwest,1,Health Sciences,6.0,1.0
f7546b28-5cf9-4294-b37a-0cf2e153f191,University of Illinois Urbana-Champaign,"Urbana-Champaign, IL",Health Sciences,2020,2024,2.43,2.38,2.57,130,1,Medium,1,0,Male,Hispanic,25,0,Low,2.42,Employed,Employed,Geographical information systems officer,Healthcare,63387.0,St. Louis,MO,Midwest,0,,7.0,1.0
75686241-4a27-48bc-980b-fa1deced502c,University of Illinois Urbana-Champaign,"Urbana-Champaign, IL",Arts & Humanities,2020,2024,2.67,2.19,2.28,139,0,Low,0,0,Male,Black,22,0,Low,2.97,Employed,Employed,Pharmacologist,Nonprofit,44924.0,Minneapolis,MN,Midwest,0,,6.0,1.0
b36ddcbd-a6a3-4fc0-a890-1438c5742fca,University of Illinois Urbana-Champaign,"Urbana-Champaign, IL",STEM,2017,2021,2.67,2.7,3.23,139,1,Medium,0,1,Male,Hispanic,26,1,Medium,3.43,Employed,Employed,Curator,Engineering,77944.0,Bloomington,IL,Midwest,1,STEM,9.0,1.0
b80a7962-9236-4b8f-bb9a-8e868dcfae15,University of Illinois Chicago,"Chicago, IL",Arts & Humanities,2020,2024,2.7,3.03,2.79,121,1,High,0,0,Non-binary,Black,24,0,High,2.47,Employed,Employed,"Horticulturist, commercial",Media,46338.0,St. Louis,MO,Midwest,0,,9.0,0.0
547d34fe-f36c-41b5-bc0b-b2025030b800,University of Illinois Chicago,"Chicago, IL",Business,2018,2022,2.65,3.17,3.26,123,1,High,0,1,Female,Hispanic,28,1,Low,3.09,Employed,Employed,Adult guidance worker,Marketing,60827.0,Louisville,KY,South,0,,6.0,1.0
200f4471-084f-4c54-b455-34c2c97bbee6,University of Illinois Chicago,"Chicago, IL",STEM,2016,2020,2.47,2.6,2.55,137,0,Low,0,1,Female,White,24,0,Low,3.29,Unemployed,Unemployed,,,,,,,0,,,
4deddb16-c11e-4f8b-a3e2-c9eb1fd5dbdf,University of Illinois Urbana-Champaign,"Urbana-Champaign, IL",Education,2017,2021,2.32,2.26,2.69,134,1,Low,0,0,Male,Hispanic,28,1,Medium,3.21,Employed,Employed,Veterinary surgeon,Higher Education,44692.0,Peoria,IL,Midwest,0,,7.0,0.0
a013b9b8-369b-4c77-aaef-fc2d3c1562a6,University of Illinois Chicago,"Chicago, IL",STEM,2020,2024,2.95,3.0,2.98,124,0,Medium,0,1,Male,Other,22,0,Low,2.65,Employed,Employed,Airline pilot,Engineering,71228.0,Naperville,IL,Midwest,0,,6.0,1.0
6a189507-87d7-4268-8ef8-0876d28c93f9,University of Illinois Urbana-Champaign,"Urbana-Champaign, IL",Education,2020,2024,2.12,1.91,2.23,131,0,Low,0,0,Non-binary,Hispanic,29,0,Medium,3.09,Employed,Employed,Chief of Staff,Higher Education,51895.0,Naperville,IL,Midwest,0,,10.0,0.0
0f3e502d-979c-4fb7-8b65-23bda8cf3cef,University of Illinois Chicago,"Chicago, IL",Business,2016,2020,2.06,2.22,2.4,140,0,High,0,0,Female,Asian,22,0,Low,3.31,Unemployed,Unemployed,,,,,,,0,,,
afa632a7-3cb3-404d-adb5-a7229b6050a5,University of Illinois Springfield,"Springfield, IL",Education,2016,2020,3.09,2.87,3.0,137,1,None,0,1,Female,Other,27,0,High,3.04,Employed,Employed,Advertising copywriter,Higher Education,51388.0,Milwaukee,WI,Midwest,0,,7.0,1.0
973877b7-c913-41bf-b3ba-8c0d0525253e,University of Illinois Urbana-Champaign,"Urbana-Champaign, IL",Education,2016,2020,3.19,3.36,3.71,120,1,High,0,0,Non-binary,Asian,24,0,Medium,3.23,Employed,Employed,Nature conservation officer,K-12,47477.0,Rockford,IL,Midwest,1,Education,7.0,1.0
fa86d546-3c3f-43d1-8ba4-2de0772c641c,University of Illinois Springfield,"Springfield, IL",Business,2017,2021,2.64,2.16,2.31,128,1,High,0,0,Female,Other,25,0,Medium,2.99,Employed,Employed,Chartered accountant,Consulting,59641.0,Milwaukee,WI,Midwest,0,,7.0,0.0
213c4394-77a4-496b-84d8-432880dfbf80,University of Illinois Chicago,"Chicago, IL",Arts & Humanities,2018,2022,3.01,3.46,3.31,136,1,Low,1,0,Non-binary,Black,29,0,Low,3.35,Employed,Employed,Immigration officer,Nonprofit,52632.0,Decatur,IL,Midwest,0,,8.0,1.0
84d0a3a3-b637-40d0-8243-095a5b365fe1,University of Illinois Springfield,"Springfield, IL",Education,2017,2021,2.87,2.4,3.18,128,0,None,0,0,Non-binary,Asian,27,0,Medium,3.06,Employed,Employed,Games developer,K-12,47233.0,Bloomington,IL,Midwest,0,,9.0,0.0
ac5e912b-fcd4-4f33-9927-ff75312ed8a0,University of Illinois Springfield,"Springfield, IL",Arts & Humanities,2017,2021,2.6,3.06,3.32,123,0,Low,0,0,Male,Black,27,0,Low,3.55,Employed,Employed,Advertising account planner,Nonprofit,46660.0,Champaign,IL,Midwest,0,,6.0,0.0
b3c771e7-9d46-441f-94f5-664689e2006a,University of Illinois Chicago,"Chicago, IL",Health Sciences,2018,2022,2.55,2.8,3.74,134,1,None,0,0,Non-binary,Other,29,0,High,2.99,Employed,Employed,Psychiatric nurse,Healthcare,54445.0,Naperville,IL,Midwest,0,,9.0,1.0
5a0fa6a2-49da-43c1-921d-0e92bfb282af,University of Illinois Springfield,"Springfield, IL",STEM,2020,2024,2.89,2.92,3.23,125,0,Low,0,0,Non-binary,Other,22,0,Medium,2.95,Employed,Employed,Financial risk analyst,Engineering,71907.0,Peoria,IL,Midwest,0,,6.0,1.0
93406aa7-3ba9-42cc-a656-fb188e87bce4,University of Illinois Urbana-Champaign,"Urbana-Champaign, IL",Education,2018,2022,3.55,4.0,3.82,137,1,None,0,0,Female,Hispanic,22,0,High,2.76,Employed,Employed,Clinical psychologist,Higher Education,45601.0,Rockford,IL,Midwest,0,,9.0,1.0
1d230ac2-4a8d-4ab4-b09e-7d85bd965c17,University of Illinois Urbana-Champaign,"Urbana-Champaign, IL",Arts & Humanities,2020,2024,2.49,2.8,2.93,138,1,High,0,0,Non-binary,White,23,0,Low,3.25,Employed,Employed,Office manager,Media,44278.0,Decatur,IL,Midwest,0,,10.0,1.0
a2cfb048-6a93-4e2d-9bae-2e5ffde62752,University of Illinois Urbana-Champaign,"Urbana-Champaign, IL",Health Sciences,2018,2022,2.18,2.05,1.84,134,1,None,0,0,Female,Other,29,1,Medium,2.53,Employed,Employed,Editorial assistant,Pharma,65215.0,Naperville,IL,Midwest,1,Health Sciences,9.0,1.0
b68f5b96-e0ec-4674-88ce-f17e588a56a0,University of Illinois Urbana-Champaign,"Urbana-Champaign, IL",Business,2019,2023,3.12,2.81,2.63,120,1,None,0,1,Non-binary,Asian,28,0,Low,2.38,Employed,Employed,"Administrator, charities/voluntary organisations",Consulting,64492.0,Des Moines,IA,Midwest,0,,10.0,1.0
1218b392-c3d8-4126-aec3-acc12a7dcdf9,University of Illinois Urbana-Champaign,"Urbana-Champaign, IL",Health Sciences,2017,2021,2.41,2.57,2.5,136,1,High,1,0,Non-binary,Black,24,0,High,2.95,Employed,Employed,"Engineer, maintenance",Healthcare,52887.0,Springfield,IL,Midwest,0,,7.0,0.0
d266a7c5-a4f0-4771-8ade-622e13645489,University of Illinois Springfield,"Springfield, IL",Education,2019,2023,2.1,2.25,2.09,134,0,High,0,0,Female,Other,27,1,High,2.63,Employed,Employed,Medical secretary,K-12,42244.0,Bloomington,IL,Midwest,1,Education,8.0,1.0
9ecf6ef7-41b5-47ac-a205-854486acd16b,University of Illinois Urbana-Champaign,"Urbana-Champaign, IL",Health Sciences,2018,2022,2.53,2.81,2.31,123,1,Low,0,1,Non-binary,Hispanic,29,0,Low,3.17,Employed,Employed,Multimedia programmer,Healthcare,56223.0,Springfield,IL,Midwest,0,,9.0,1.0
7d85cbce-1e37-4023-b936-b40c05c4ecce,University of Illinois Chicago,"Chicago, IL",Education,2018,2022,2.97,2.85,3.01,133,0,Medium,0,0,Non-binary,Hispanic,26,1,Low,2.85,Employed,Employed,Magazine features editor,Higher Education,37223.0,Milwaukee,WI,Midwest,1,Education,9.0,1.0
515169bb-ed62-45d7-baf2-e3c443883811,University of Illinois Urbana-Champaign,"Urbana-Champaign, IL",Business,2019,2023,2.39,2.62,2.33,131,0,Medium,0,1,Non-binary,Black,23,1,Medium,2.2,Employed,Employed,"Surveyor, commercial/residential",Finance,54440.0,Naperville,IL,Midwest,0,,9.0,1.0
d1b64423-2ed9-4cad-9c63-9028a8a0aa2e,University of Illinois Urbana-Champaign,"Urbana-Champaign, IL",Business,2016,2020,3.36,3.36,3.36,137,1,None,0,1,Non-binary,Asian,23,0,Medium,2.87,Employed,Employed,Dancer,Marketing,62226.0,Springfield,IL,Midwest,0,,6.0,1.0
e1fd4e62-27a3-41db-b6b7-8af9bf5e6a19,University of Illinois Chicago,"Chicago, IL",Education,2019,2023,2.81,3.58,3.44,134,1,Low,0,1,Female,Black,26,0,Medium,3.77,Employed,Employed,Arts development officer,K-12,43601.0,Naperville,IL,Midwest,0,,6.0,0.0
2dc3a4e2-ca9b-48a0-aa2a-c774a22b65ed,University of Illinois Urbana-Champaign,"Urbana-Champaign, IL",STEM,2020,2024,2.51,2.99,2.88,122,1,None,0,1,Female,Other,22,0,Low,2.73,Employed,Employed,Immigration officer,Research,79412.0,Los Angeles,CA,West,0,,9.0,1.0
e5633127-44e9-4512-9ab9-65d075eb7a73,University of Illinois Springfield,"Springfield, IL",Arts & Humanities,2017,2021,2.59,2.51,2.45,123,0,Medium,1,0,Female,Black,27,1,Medium,3.44,Employed,Employed,Chiropodist,Arts,30825.0,Bloomington,IL,Midwest,0,,6.0,1.0
94ab38cd-0e8f-48bc-9ef5-c53242a321a1,University of Illinois Springfield,"Springfield, IL",Education,2018,2022,2.18,2.74,3.24,138,0,Medium,0,0,Female,Other,23,0,Low,3.0,Employed,Employed,"Journalist, newspaper",K-12,47459.0,Naperville,IL,Midwest,0,,7.0,1.0
ba72600b-11c6-4a2f-8eea-26818738fab3,University of Illinois Urbana-Champaign,"Urbana-Champaign, IL",Education,2016,2020,3.47,3.69,3.96,132,0,Medium,0,0,Female,Other,23,0,Low,3.06,Continuing Education,Continuing Education,,,,,,,0,,,
b04b4770-fb41-48cd-9d0b-d155a05dd41b,University of Illinois Springfield,"Springfield, IL",Business,2017,2021,2.73,2.71,2.84,130,1,High,0,0,Non-binary,Asian,23,1,Medium,3.26,Employed,Employed,Retail buyer,Marketing,59342.0,Springfield,IL,Midwest,0,,7.0,0.0
bb3ccbc5-a9d7-4889-b516-e60e1e3aeb4e,University of Illinois Urbana-Champaign,"Urbana-Champaign, IL",Education,2017,2021,2.78,3.02,3.26,121,0,Low,1,0,Female,Hispanic,25,1,Low,3.18,Continuing Education,Continuing Education,,,,,,,0,,,
04a674d5-210c-4f18-b557-4e816742d05b,University of Illinois Chicago,"Chicago, IL",Health Sciences,2020,2024,2.66,2.61,2.77,140,0,High,0,0,Female,Black,29,0,Medium,3.62,Employed,Employed,Cytogeneticist,Pharma,49093.0,Decatur,IL,Midwest,0,,9.0,1.0
f124e5ea-c13a-46be-b01c-cc0476bc0c22,University of Illinois Springfield,"Springfield, IL",STEM,2018,2022,2.2,2.05,2.74,140,0,Medium,0,0,Male,White,23,0,High,2.98,Employed,Employed,Economist,Research,72097.0,Des Moines,IA,Midwest,0,,6.0,1.0
6739fc7a-9eac-4a1c-8e92-6c10b648ea03,University of Illinois Urbana-Champaign,"Urbana-Champaign, IL",Arts & Humanities,2020,2024,2.82,3.16,3.45,134,1,Medium,0,1,Female,Black,22,0,Low,2.11,Employed,Employed,"Radiographer, diagnostic",Nonprofit,56627.0,Decatur,IL,Midwest,0,,6.0,1.0
86cfd370-234c-479b-bac7-597933c5c58b,University of Illinois Springfield,"Springfield, IL",Business,2017,2021,3.45,4.0,3.92,140,0,None,0,1,Non-binary,Hispanic,22,0,Medium,3.15,Continuing Education,Continuing Education,,,,,,,0,,,
69f7ed8a-032b-4e13-9dc6-1b1c2157ce11,University of Illinois Chicago,"Chicago, IL",Education,2017,2021,2.43,2.88,3.45,132,0,Medium,0,0,Non-binary,Asian,22,1,High,2.82,Employed,Employed,Comptroller,Higher Education,39705.0,Rockford,IL,Midwest,0,,9.0,0.0
f9177e28-d2b9-4a1c-bb40-a0cccf16c2e3,University of Illinois Springfield,"Springfield, IL",Business,2020,2024,2.16,2.16,3.24,131,0,High,0,1,Non-binary,Other,22,0,Medium,3.27,Employed,Employed,Health and safety adviser,Finance,57848.0,Champaign,IL,Midwest,0,,7.0,0.0
88997cef-1187-4755-ae9a-b2b79914d19d,University of Illinois Springfield,"Springfield, IL",STEM,2018,2022,2.83,2.89,3.02,133,0,Medium,0,0,Non-binary,Other,28,0,Medium,3.24,Employed,Employed,Social worker,Engineering,73217.0,Des Moines,IA,Midwest,0,,8.0,1.0
de2cff3c-6223-41f9-97a2-817b1f30aaff,University of Illinois Urbana-Champaign,"Urbana-Champaign, IL",STEM,2019,2023,3.56,3.56,3.73,139,1,None,0,0,Female,Black,26,0,Low,2.72,Employed,Employed,Claims inspector/assessor,Research,79190.0,Springfield,IL,Midwest,0,,10.0,0.0
123b980a-80f3-47cc-bcf8-f0d834b5b23e,University of Illinois Springfield,"Springfield, IL",Health Sciences,2019,2023,1.86,2.49,2.5,123,1,Medium,0,1,Non-binary,Other,23,0,High,3.32,Employed,Employed,Public relations account executive,Healthcare,61400.0,Springfield,IL,Midwest,0,,10.0,0.0
5d61dc64-5642-46f6-90bb-33c2b1dae4db,University of Illinois Springfield,"Springfield, IL",Education,2016,2020,2.73,2.75,3.21,126,0,Medium,0,0,Female,White,29,0,High,2.81,Employed,Employed,Purchasing manager,Higher Education,43160.0,Naperville,IL,Midwest,0,,9.0,1.0
a530f837-6b3a-4d9d-98cc-5ef991bc8906,University of Illinois Springfield,"Springfield, IL",Business,2017,2021,2.12,1.8,1.68,121,1,None,0,1,Non-binary,Other,26,0,High,2.91,Employed,Employed,"Surveyor, minerals",Marketing,71906.0,Peoria,IL,Midwest,0,,6.0,1.0
01893377-e8aa-472c-82fe-5d2633952515,University of Illinois Urbana-Champaign,"Urbana-Champaign, IL",Business,2019,2023,2.35,2.21,1.96,133,0,None,0,0,Non-binary,Other,27,1,Medium,2.88,Employed,Employed,Education administrator,Consulting,58277.0,Bloomington,IL,Midwest,0,,7.0,1.0
173df23e-e812-4400-841c-3ab4b89bb20b,University of Illinois Chicago,"Chicago, IL",Arts & Humanities,2018,2022,2.43,2.52,3.0,140,0,High,0,0,Female,Other,26,0,Medium,3.31,Continuing Education,Continuing Education,,,,,,,0,,,
956dbcb6-da29-44a1-bfcb-4a53e72bb9ea,University of Illinois Urbana-Champaign,"Urbana-Champaign, IL",STEM,2016,2020,2.48,2.15,2.0,122,0,None,0,1,Non-binary,Hispanic,22,0,High,2.98,Employed,Employed,"Engineer, electrical",Engineering,66120.0,Chicago,IL,Midwest,1,STEM,9.0,0.0
77f1dc6a-1132-4eec-a843-aa6183ddc6a7,University of Illinois Urbana-Champaign,"Urbana-Champaign, IL",Education,2016,2020,2.71,2.84,2.71,132,0,Medium,0,0,Non-binary,Hispanic,25,0,Low,2.72,Employed,Employed,Police officer,Higher Education,37164.0,Bloomington,IL,Midwest,0,,8.0,1.0
918a2d60-b658-4d61-bac5-bb50a4b8bc9d,University of Illinois Urbana-Champaign,"Urbana-Champaign, IL",Business,2020,2024,3.27,3.16,3.22,139,1,High,0,0,Non-binary,White,29,0,High,2.76,Employed,Employed,"Social research officer, government",Consulting,61045.0,Decatur,IL,Midwest,0,,8.0,1.0
c6b488f6-b137-47b7-8fd3-f8a2b11b1988,University of Illinois Springfield,"Springfield, IL",Arts & Humanities,2018,2022,3.01,3.06,2.75,124,1,Low,0,0,Male,Hispanic,23,1,Medium,2.7,Employed,Employed,Banker,Nonprofit,43464.0,Bloomington,IL,Midwest,1,Arts & Humanities,6.0,1.0
e25f73bc-360c-4b82-8bf0-761f25ae48e1,University of Illinois Urbana-Champaign,"Urbana-Champaign, IL",Arts & Humanities,2020,2024,2.17,2.04,1.99,126,1,Medium,0,0,Male,White,22,1,Medium,2.98,Employed,Employed,Garment/textile technologist,Nonprofit,54432.0,Champaign,IL,Midwest,0,,7.0,1.0
97ddbfda-64a7-4939-bd40-53312971868e,University of Illinois Springfield,"Springfield, IL",Arts & Humanities,2017,2021,2.47,2.3,2.55,120,0,Low,1,0,Non-binary,Other,27,0,Low,3.67,Employed,Employed,Make,Nonprofit,32148.0,Naperville,IL,Midwest,0,,9.0,1.0
5ae86a49-b0b7-431b-88e9-70f7d0a99ba7,University of Illinois Urbana-Champaign,"Urbana-Champaign, IL",Arts & Humanities,2020,2024,2.76,3.17,3.18,138,0,Low,0,0,Male,Asian,27,0,Medium,2.53,Unemployed,Unemployed,,,,,,,1,Arts & Humanities,,
e8945deb-5667-4d0b-98da-d0374d1b0d7c,University of Illinois Urbana-Champaign,"Urbana-Champaign, IL",Health Sciences,2020,2024,2.82,2.59,2.79,123,0,Low,0,0,Non-binary,White,24,0,Low,2.97,Employed,Employed,"Scientist, research (life sciences)",Pharma,50529.0,Springfield,IL,Midwest,0,,10.0,0.0
c4a020fa-bb23-414c-aea2-ae33ed6dca48,University of Illinois Urbana-Champaign,"Urbana-Champaign, IL",STEM,2016,2020,2.74,2.94,3.61,133,0,Low,0,1,Male,Black,26,1,High,3.0,Continuing Education,Continuing Education,,,,,,,1,STEM,,
f50f6344-9793-4846-8957-4af3a522facd,University of Illinois Chicago,"Chicago, IL",Education,2017,2021,2.72,2.68,2.97,134,1,Low,0,0,Non-binary,White,27,0,High,2.74,Employed,Employed,"Education officer, environmental",Higher Education,45370.0,Bloomington,IL,Midwest,0,,7.0,1.0
1302d062-3482-471c-b5fa-373fb0778325,University of Illinois Urbana-Champaign,"Urbana-Champaign, IL",STEM,2020,2024,2.35,2.25,2.45,140,0,High,0,0,Male,Asian,23,1,Low,3.2,Employed,Employed,Physiotherapist,Technology,66060.0,Naperville,IL,Midwest,0,,10.0,1.0
bbf7a1b4-c843-463b-a72f-3d2d0b784751,University of Illinois Springfield,"Springfield, IL",Health Sciences,2016,2020,2.58,2.75,3.46,129,1,Medium,0,1,Non-binary,Hispanic,27,0,Low,2.79,Employed,Employed,"Surveyor, insurance",Pharma,61964.0,Chicago,IL,Midwest,0,,8.0,1.0
7496cfe5-cd5f-4c47-9175-bc30ce727859,University of Illinois Chicago,"Chicago, IL",Education,2017,2021,2.47,3.33,3.85,124,1,Low,0,0,Male,White,27,0,Low,2.84,Employed,Employed,"Teacher, adult education",K-12,44441.0,Springfield,IL,Midwest,0,,10.0,1.0
c13caefc-fbec-423e-b391-91e1d491e421,University of Illinois Urbana-Champaign,"Urbana-Champaign, IL",Arts & Humanities,2019,2023,2.97,3.39,2.96,122,0,High,0,0,Non-binary,Other,27,1,High,2.65,Unemployed,Employed,,,,,,,0,,,
cb2582b3-2e00-42a7-8881-5cca0c6c0dee,University of Illinois Chicago,"Chicago, IL",STEM,2018,2022,2.75,2.96,3.58,120,1,Medium,0,0,Non-binary,Other,22,0,High,2.81,Employed,Employed,"Development worker, community",Research,84412.0,Bloomington,IL,Midwest,0,,8.0,0.0
143014f4-0998-43b1-828a-cb87e83196e9,University of Illinois Chicago,"Chicago, IL",Arts & Humanities,2020,2024,3.09,3.29,3.39,134,1,Medium,0,0,Male,Asian,25,1,Low,3.32,Employed,Employed,"Engineer, building services",Arts,42064.0,Decatur,IL,Midwest,1,Arts & Humanities,10.0,1.0
f81bd486-eb69-417f-a981-4ccdd22f4686,University of Illinois Urbana-Champaign,"Urbana-Champaign, IL",Business,2016,2020,3.18,3.39,3.08,138,1,Low,0,0,Female,White,24,1,Low,3.15,Employed,Employed,Advertising account executive,Consulting,58550.0,Chicago,IL,Midwest,1,Business,8.0,1.0
001f7526-3bb7-4f27-98d5-b3f43d38bd27,University of Illinois Urbana-Champaign,"Urbana-Champaign, IL",Arts & Humanities,2018,2022,2.49,2.27,2.35,120,0,High,0,0,Male,Asian,26,0,Low,3.38,Employed,Employed,Volunteer coordinator,Arts,41980.0,Chicago,IL,Midwest,0,,9.0,1.0
be948ba4-7ece-4809-9e43-44768faf4cc5,University of Illinois Chicago,"Chicago, IL",Health Sciences,2016,2020,2.84,3.12,3.06,129,0,None,0,0,Male,White,23,0,Medium,2.67,Employed,Employed,Contracting civil engineer,Pharma,47204.0,Springfield,IL,Midwest,0,,7.0,0.0
75671730-c654-4118-a5cc-d00fc513d457,University of Illinois Urbana-Champaign,"Urbana-Champaign, IL",Health Sciences,2019,2023,2.13,2.17,2.29,140,1,Low,0,0,Male,Hispanic,26,0,Low,2.09,Employed,Employed,Aid worker,Healthcare,57823.0,Champaign,IL,Midwest,0,,10.0,1.0
452647bd-287e-4ff1-a359-4b1f989a05e3,University of Illinois Springfield,"Springfield, IL",Business,2016,2020,2.59,3.28,3.32,134,1,None,0,0,Non-binary,Other,29,1,Low,2.96,Employed,Employed,Statistician,Marketing,62145.0,Champaign,IL,Midwest,1,Business,6.0,1.0
